zid,traffic_percent,geometry
27409768,92.13,"POLYGON ((43.99757004651759 56.295457780796205, 43.99745245139468 56.299949347185894, 44.005530875090685 56.3000144756136, 44.00564752302646 56.29552289822808, 43.99757004651759 56.295457780796205))"
27409769,91.15,"POLYGON ((43.99745245139468 56.299949347185894, 43.9973348225308 56.30444091013497, 44.00541419368558 56.304506049561084, 44.005530875090685 56.3000144756136, 43.99745245139468 56.299949347185894))"
27409770,92.69,"POLYGON ((43.9973348225308 56.30444091013497, 43.99721715991266 56.308932469643565, 44.00529747879792 56.308997620070656, 44.00541419368558 56.304506049561084, 43.9973348225308 56.30444091013497))"
27409771,92.22,"POLYGON ((43.99721715991266 56.308932469643565, 43.99709946352691 56.313424025711846, 44.00518073041453 56.313489187142494, 44.00529747879792 56.308997620070656, 43.99721715991266 56.308932469643565))"
27409772,92.24,"POLYGON ((43.99709946352691 56.313424025711846, 43.99698173336022 56.31791557833996, 44.005063948522164 56.31798075077675, 44.00518073041453 56.313489187142494, 43.99709946352691 56.313424025711846))"
27409773,92.65,"POLYGON ((43.99698173336022 56.31791557833996, 43.99686396939929 56.32240712752806, 44.004947133107606 56.32247231097355, 44.005063948522164 56.31798075077675, 43.99698173336022 56.31791557833996))"
27409774,93.56,"POLYGON ((43.99686396939929 56.32240712752806, 43.996746171630754 56.326898673276304, 44.00483028415763 56.326963867733085, 44.004947133107606 56.32247231097355, 43.99686396939929 56.32240712752806))"
27409775,94.19,"POLYGON ((43.996746171630754 56.326898673276304, 43.99662834004127 56.331390215584825, 44.004713401658975 56.33145542105548, 44.00483028415763 56.326963867733085, 43.996746171630754 56.326898673276304))"
27409776,96.89,"POLYGON ((43.99662834004127 56.331390215584825, 43.99651047461747 56.33588175445381, 44.0045964855984 56.33594697094092, 44.004713401658975 56.33145542105548, 43.99662834004127 56.331390215584825))"
27409794,91.95,"POLYGON ((44.00564752302646 56.29552289822808, 44.005530875090685 56.3000144756136, 44.013609332256024 56.300079077219884, 44.01372503299149 56.29558748892745, 44.00564752302646 56.29552289822808))"
27409795,91.65,"POLYGON ((44.005530875090685 56.3000144756136, 44.00541419368558 56.304506049561084, 44.013493598322874 56.30457066207685, 44.013609332256024 56.300079077219884, 44.005530875090685 56.3000144756136))"
27409796,92.32,"POLYGON ((44.00541419368558 56.304506049561084, 44.00529747879792 56.308997620070656, 44.01337783117895 56.309062243498445, 44.013493598322874 56.30457066207685, 44.00541419368558 56.304506049561084))"
27409797,91.29,"POLYGON ((44.00529747879792 56.308997620070656, 44.00518073041453 56.313489187142494, 44.01326203081112 56.31355382148487, 44.01337783117895 56.309062243498445, 44.00529747879792 56.308997620070656))"
27409798,91.06,"POLYGON ((44.00518073041453 56.313489187142494, 44.005063948522164 56.31798075077675, 44.0131461972063 56.31804539603626, 44.01326203081112 56.31355382148487, 44.00518073041453 56.313489187142494))"
27409799,92.29,"POLYGON ((44.005063948522164 56.31798075077675, 44.004947133107606 56.32247231097355, 44.013030330351356 56.322536967152764, 44.0131461972063 56.31804539603626, 44.005063948522164 56.31798075077675))"
27409800,92.42,"POLYGON ((44.004947133107606 56.32247231097355, 44.00483028415763 56.326963867733085, 44.01291443023316 56.32702853483456, 44.013030330351356 56.322536967152764, 44.004947133107606 56.32247231097355))"
27409801,96.42,"POLYGON ((44.00483028415763 56.326963867733085, 44.004713401658975 56.33145542105548, 44.01279849683859 56.331520099081764, 44.01291443023316 56.32702853483456, 44.00483028415763 56.326963867733085))"
27409802,98.91,"POLYGON ((44.004713401658975 56.33145542105548, 44.0045964855984 56.33594697094092, 44.01268253015449 56.33601165989458, 44.01279849683859 56.331520099081764, 44.004713401658975 56.33145542105548))"
27409820,91.46,"POLYGON ((44.01372503299149 56.29558748892745, 44.013609332256024 56.300079077219884, 44.02168782261905 56.300143152000125, 44.02180257614109 56.29565155288969, 44.01372503299149 56.29558748892745))"
27409821,91.52,"POLYGON ((44.013609332256024 56.300079077219884, 44.013493598322874 56.30457066207685, 44.021573036170956 56.30463474767763, 44.02168782261905 56.300143152000125, 44.013609332256024 56.300079077219884))"
27409822,92.76,"POLYGON ((44.013493598322874 56.30457066207685, 44.01337783117895 56.309062243498445, 44.02145821678385 56.30912633992231, 44.021573036170956 56.30463474767763, 44.013493598322874 56.30457066207685))"
27409823,91.92,"POLYGON ((44.01337783117895 56.309062243498445, 44.01326203081112 56.31355382148487, 44.02134336444472 56.31361792873434, 44.02145821678385 56.30912633992231, 44.01337783117895 56.309062243498445))"
27409824,92.05,"POLYGON ((44.01326203081112 56.31355382148487, 44.0131461972063 56.31804539603626, 44.021228479140554 56.31810951411388, 44.02134336444472 56.31361792873434, 44.01326203081112 56.31355382148487))"
