cell_zid,geometry,percentage passability
108088,"MULTIPOLYGON (((37.6394169641889 55.73849448583744, 37.639432976738966 55.74298593848521, 37.64739506018254 55.74297664640304, 37.64737813327083 55.73848519531159, 37.6394169641889 55.73849448583744)))",1.0152925024549275
108668,"MULTIPOLYGON (((37.58369828212354 55.74303653680987, 37.58370789682032 55.747527994626736, 37.5916709182789 55.74752231274973, 37.59166038895173 55.74303085588456, 37.58369828212354 55.74303653680987)))",1.281891056299817
108669,"MULTIPOLYGON (((37.59166038895173 55.74303085588456, 37.5916709182789 55.74752231274973, 37.599633940643464 55.74751611490277, 37.59962249668662 55.74302465907574, 37.59166038895173 55.74303085588456)))",0.35807386833242166
108670,"MULTIPOLYGON (((37.59962249668662 55.74302465907574, 37.599633940643464 55.74751611490277, 37.60759695976738 55.74750940108896, 37.607584601182104 55.743017946386495, 37.59962249668662 55.74302465907574)))",1.1774109343076562
108671,"MULTIPOLYGON (((37.607584601182104 55.743017946386495, 37.60759695976738 55.74750940108896, 37.61555997441973 55.747502171309684, 37.61554670120749 55.74301071781818, 37.607584601182104 55.743017946386495)))",1.3252451637018607
108672,"MULTIPOLYGON (((37.61554670120749 55.74301071781818, 37.61555997441973 55.747502171309684, 37.6235229833696 55.74749442556659, 37.623508795532075 55.74300297337251, 37.61554670120749 55.74301071781818)))",1.0545149335025208
108673,"MULTIPOLYGON (((37.623508795532075 55.74300297337251, 37.6235229833696 55.74749442556659, 37.63148599024565 55.74748616385647, 37.63147088778418 55.74299471304621, 37.623508795532075 55.74300297337251)))",1.5965338825670434
108674,"MULTIPOLYGON (((37.63147088778418 55.74299471304621, 37.63148599024565 55.74748616385647, 37.63944899381696 55.74747738618062, 37.639432976738966 55.74298593848521, 37.63147088778418 55.74299471304621)))",1.324222217625138
108675,"MULTIPOLYGON (((37.639432976738966 55.74298593848521, 37.63944899381696 55.74747738618062, 37.64741199188074 55.74746809254176, 37.64739506018254 55.74297664640304, 37.639432976738966 55.74298593848521)))",1.1322303410137486
109254,"MULTIPOLYGON (((37.58370789682032 55.747527994626736, 37.58371751423617 55.75201944749341, 37.59168145058379 55.75201376466447, 37.5916709182789 55.74752231274973, 37.58370789682032 55.747527994626736)))",1.6180613410897142
109255,"MULTIPOLYGON (((37.5916709182789 55.74752231274973, 37.59168145058379 55.75201376466447, 37.599645387836716 55.75200756577914, 37.599633940643464 55.74751611490277, 37.5916709182789 55.74752231274973)))",0.8324102598471094
109256,"MULTIPOLYGON (((37.599633940643464 55.74751611490277, 37.599645387836716 55.75200756577914, 37.60760932184772 55.75200085084052, 37.60759695976738 55.74750940108896, 37.599633940643464 55.74751611490277)))",2.0424072981475203
109257,"MULTIPOLYGON (((37.60759695976738 55.74750940108896, 37.60760932184772 55.75200085084052, 37.61557325138569 55.75199361984997, 37.61555997441973 55.747502171309684, 37.60759695976738 55.74750940108896)))",1.9779730930418742
109258,"MULTIPOLYGON (((37.61555997441973 55.747502171309684, 37.61557325138569 55.75199361984997, 37.623537175219504 55.75198587280918, 37.6235229833696 55.74749442556659, 37.61555997441973 55.747502171309684)))",1.5696722873991784
109259,"MULTIPOLYGON (((37.6235229833696 55.74749442556659, 37.623537175219504 55.75198587280918, 37.63150109697815 55.75197760971489, 37.63148599024565 55.74748616385647, 37.6235229833696 55.74749442556659)))",0.9074870933554262
109260,"MULTIPOLYGON (((37.63148599024565 55.74748616385647, 37.63150109697815 55.75197760971489, 37.63946501543053 55.75196883056845, 37.63944899381696 55.74747738618062, 37.63148599024565 55.74748616385647)))",1.0542271408736934
109261,"MULTIPOLYGON (((37.63944899381696 55.74747738618062, 37.63946501543053 55.75196883056845, 37.647428928373486 55.75195953537258, 37.64741199188074 55.74746809254176, 37.63944899381696 55.74747738618062)))",1.0246471876077972
109837,"MULTIPOLYGON (((37.58371751423617 55.75201944749341, 37.58372713438036 55.756510899247466, 37.591691989765145 55.75650521546347, 37.59168145058379 55.75201376466447, 37.58371751423617 55.75201944749341)))",1.267752174871691
109838,"MULTIPOLYGON (((37.59168145058379 55.75201376466447, 37.591691989765145 55.75650521546347, 37.5996568382774 55.75649901554243, 37.599645387836716 55.75200756577914, 37.59168145058379 55.75201376466447)))",0.9751582531773868
109839,"MULTIPOLYGON (((37.599645387836716 55.75200756577914, 37.5996568382774 55.75649901554243, 37.60762168743504 55.75649229947873, 37.60760932184772 55.75200085084052, 37.599645387836716 55.75200756577914)))",1.8312244972277014
