zid,traffic_percent,geometry
67972737,85.07,"POLYGON ((37.623661612159 55.740111857960486, 37.62350349802762 55.74460322236863, 37.63146573323474 55.74469216686305, 37.63162293346517 55.740200787557534, 37.623661612159 55.740111857960486))"
67972738,91.1,"POLYGON ((37.62350349802762 55.74460322236863, 37.62334533912677 55.749094583174376, 37.631308488493396 55.749183542569575, 37.63146573323474 55.74469216686305, 37.62350349802762 55.74460322236863))"
67972739,90.63,"POLYGON ((37.62334533912677 55.749094583174376, 37.62318713543911 55.753585940377825, 37.631151199223844 55.75367491467722, 37.631308488493396 55.749183542569575, 37.62334533912677 55.749094583174376))"
67972740,88.05,"POLYGON ((37.62318713543911 55.753585940377825, 37.62302888694726 55.75807729397906, 37.63099386540884 55.75816628318607, 37.631151199223844 55.75367491467722, 37.62318713543911 55.753585940377825))"
67972741,87.8,"POLYGON ((37.62302888694726 55.75807729397906, 37.62287059363384 55.76256864397816, 37.6308364870311 55.76265764809621, 37.63099386540884 55.75816628318607, 37.62302888694726 55.75807729397906))"
67972742,88.06,"POLYGON ((37.62287059363384 55.76256864397816, 37.622712255481474 55.76705999037522, 37.63067906407333 55.76714900940771, 37.6308364870311 55.76265764809621, 37.62287059363384 55.76256864397816))"
67972743,88.78,"POLYGON ((37.622712255481474 55.76705999037522, 37.62255387247276 55.771551333170336, 37.630521596518236 55.771640367120696, 37.63067906407333 55.76714900940771, 37.622712255481474 55.76705999037522))"
67972755,87.7,"POLYGON ((37.631937200462204 55.73121801814918, 37.631780089201904 55.73570940465294, 37.63974054134197 55.73579780373206, 37.639896739200836 55.731306402424046, 37.631937200462204 55.73121801814918))"
67972756,87.05,"POLYGON ((37.631780089201904 55.73570940465294, 37.63162293346517 55.740200787557534, 37.63958429926502 55.7402892014443, 37.63974054134197 55.73579780373206, 37.631780089201904 55.73570940465294))"
67972757,85.18,"POLYGON ((37.63162293346517 55.740200787557534, 37.63146573323474 55.74469216686305, 37.639428012952806 55.74478059556086, 37.63958429926502 55.7402892014443, 37.63162293346517 55.740200787557534))"
67972758,91.56,"POLYGON ((37.63146573323474 55.74469216686305, 37.631308488493396 55.749183542569575, 37.6392716823882 55.74927198608183, 37.639428012952806 55.74478059556086, 37.63146573323474 55.74469216686305))"
67972759,89.23,"POLYGON ((37.631308488493396 55.749183542569575, 37.631151199223844 55.75367491467722, 37.63911530755404 55.7537633730073, 37.6392716823882 55.74927198608183, 37.631308488493396 55.749183542569575))"
67972760,88.59,"POLYGON ((37.631151199223844 55.75367491467722, 37.63099386540884 55.75816628318607, 37.63895888843315 55.75825475633739, 37.63911530755404 55.7537633730073, 37.631151199223844 55.75367491467722))"
67972761,88.41,"POLYGON ((37.63099386540884 55.75816628318607, 37.6308364870311 55.76265764809621, 37.638802425008365 55.762746136072145, 37.63895888843315 55.75825475633739, 37.63099386540884 55.75816628318607))"
67972762,86.9,"POLYGON ((37.6308364870311 55.76265764809621, 37.63067906407333 55.76714900940771, 37.63864591726249 55.767237512211686, 37.638802425008365 55.762746136072145, 37.6308364870311 55.76265764809621))"
67972763,88.79,"POLYGON ((37.63067906407333 55.76714900940771, 37.630521596518236 55.771640367120696, 37.63848936517834 55.7717288847561, 37.63864591726249 55.767237512211686, 37.63067906407333 55.76714900940771))"
67972775,87.35,"POLYGON ((37.639896739200836 55.731306402424046, 37.63974054134197 55.73579780373206, 37.64770103770015 55.73588568718103, 37.647856322140434 55.73139427115505, 37.639896739200836 55.731306402424046))"
67972776,89.61,"POLYGON ((37.63974054134197 55.73579780373206, 37.63958429926502 55.7402892014443, 37.647545709300104 55.74037709961462, 37.64770103770015 55.73588568718103, 37.63974054134197 55.73579780373206))"
67972777,87.68,"POLYGON ((37.63958429926502 55.7402892014443, 37.639428012952806 55.74478059556086, 37.64739033692326 55.7448685084559, 37.647545709300104 55.74037709961462, 37.63958429926502 55.7402892014443))"
67972778,90.97,"POLYGON ((37.639428012952806 55.74478059556086, 37.6392716823882 55.74927198608183, 37.64723492055256 55.74935991370495, 37.64739033692326 55.7448685084559, 37.639428012952806 55.74478059556086))"
67972779,89.65,"POLYGON ((37.6392716823882 55.74927198608183, 37.63911530755404 55.7537633730073, 37.64707946017096 55.75385131536189, 37.64723492055256 55.74935991370495, 37.6392716823882 55.74927198608183))"
67972780,90.78,"POLYGON ((37.63911530755404 55.7537633730073, 37.63895888843315 55.75825475633739, 37.646923955761366 55.75834271342681, 37.64707946017096 55.75385131536189, 37.63911530755404 55.7537633730073))"
67972781,92.31,"POLYGON ((37.63895888843315 55.75825475633739, 37.638802425008365 55.762746136072145, 37.64676840730672 55.7628341078998, 37.646923955761366 55.75834271342681, 37.63895888843315 55.75825475633739))"
67972782,86.92,"POLYGON ((37.638802425008365 55.762746136072145, 37.63864591726249 55.767237512211686, 37.64661281478995 55.76732549878095, 37.64676840730672 55.7628341078998, 37.638802425008365 55.762746136072145))"
67972783,87.74,"POLYGON ((37.63864591726249 55.767237512211686, 37.63848936517834 55.7717288847561, 37.64645717819393 55.771816886070354, 37.64661281478995 55.76732549878095, 37.63864591726249 55.767237512211686))"
67972795,87.52,"POLYGON ((37.647856322140434 55.73139427115505, 37.64770103770015 55.73588568718103, 37.65566157801808 55.73597305499369, 37.65581594902276 55.731481624336034, 37.647856322140434 55.73139427115505))"
67972796,87.99,"POLYGON ((37.64770103770015 55.73588568718103, 37.647545709300104 55.74037709961462, 37.65550716331199 55.74046448206233, 37.65566157801808 55.73597305499369, 37.64770103770015 55.73588568718103))"
67972797,87.52,"POLYGON ((37.647545709300104 55.74037709961462, 37.64739033692326 55.7448685084559, 37.65535270488756 55.744955905541985, 37.65550716331199 55.74046448206233, 37.647545709300104 55.74037709961462))"
67972798,90.88,"POLYGON ((37.64739033692326 55.7448685084559, 37.64723492055256 55.74935991370495, 37.65519820272783 55.74944732543279, 37.65535270488756 55.744955905541985, 37.64739033692326 55.7448685084559))"
67972799,88.08,"POLYGON ((37.64723492055256 55.74935991370495, 37.64707946017096 55.75385131536189, 37.65504365681584 55.753938741734835, 37.65519820272783 55.74944732543279, 37.64723492055256 55.74935991370495))"
67972800,86.09,"POLYGON ((37.64707946017096 55.75385131536189, 37.646923955761366 55.75834271342681, 37.65488906713463 55.75843015444821, 37.65504365681584 55.753938741734835, 37.64707946017096 55.75385131536189))"
67972801,90.31,"POLYGON ((37.646923955761366 55.75834271342681, 37.64676840730672 55.7628341078998, 37.65473443366722 55.76292156357302, 37.65488906713463 55.75843015444821, 37.646923955761366 55.75834271342681))"
67972802,89.09,"POLYGON ((37.64676840730672 55.7628341078998, 37.64661281478995 55.76732549878095, 37.65457975639663 55.76741296910934, 37.65473443366722 55.76292156357302, 37.64676840730672 55.7628341078998))"
67972803,86.56,"POLYGON ((37.64661281478995 55.76732549878095, 37.64645717819393 55.771816886070354, 37.65442503530585 55.77190437105728, 37.65457975639663 55.76741296910934, 37.64661281478995 55.76732549878095))"
67972815,87.43,"POLYGON ((37.65581594902276 55.731481624336034, 37.65566157801808 55.73597305499369, 37.66362216203742 55.73605990716396, 37.663775619589565 55.731568461960904, 37.65581594902276 55.731481624336034))"
67972816,87.33,"POLYGON ((37.65566157801808 55.73597305499369, 37.65550716331199 55.74046448206233, 37.66346866104223 55.74055134878131, 37.66362216203742 55.73605990716396, 37.65566157801808 55.73597305499369))"
67972817,88.01,"POLYGON ((37.65550716331199 55.74046448206233, 37.65535270488756 55.744955905541985, 37.663315116587164 55.74504278681304, 37.66346866104223 55.74055134878131, 37.65550716331199 55.74046448206233))"
67972818,89.11,"POLYGON ((37.65535270488756 55.744955905541985, 37.65519820272783 55.74944732543279, 37.66316152865535 55.74953422125923, 37.663315116587164 55.74504278681304, 37.65535270488756 55.744955905541985))"
67972819,87.77,"POLYGON ((37.65519820272783 55.74944732543279, 37.65504365681584 55.753938741734835, 37.66300789722996 55.75402565212001, 37.66316152865535 55.74953422125923, 37.65519820272783 55.74944732543279))"
67972820,87.58,"POLYGON ((37.65504365681584 55.753938741734835, 37.65488906713463 55.75843015444821, 37.6628542222941 55.75851707939545, 37.66300789722996 55.75402565212001, 37.65504365681584 55.753938741734835))"
67972821,88.3,"POLYGON ((37.65488906713463 55.75843015444821, 37.65473443366722 55.76292156357302, 37.66270050383091 55.763008503085665, 37.6628542222941 55.75851707939545, 37.65488906713463 55.75843015444821))"
67972822,88.24,"POLYGON ((37.65473443366722 55.76292156357302, 37.65457975639663 55.76741296910934, 37.66254674182349 55.767499923190734, 37.66270050383091 55.763008503085665, 37.65473443366722 55.76292156357302))"
67972823,87.47,"POLYGON ((37.65457975639663 55.76741296910934, 37.65442503530585 55.77190437105728, 37.66239293625496 55.77199133971076, 37.66254674182349 55.767499923190734, 37.65457975639663 55.76741296910934))"
67972835,89.13,"POLYGON ((37.663775619589565 55.731568461960904, 37.66362216203742 55.73605990716396, 37.671582789499794 55.736146243685745, 37.671735333582575 55.73165478402359, 37.663775619589565 55.731568461960904))"
67972836,90.8,"POLYGON ((37.66362216203742 55.73605990716396, 37.66346866104223 55.74055134878131, 37.67143020223235 55.740637699765514, 37.671582789499794 55.736146243685745, 37.66362216203742 55.73605990716396))"
67972837,89.55,"POLYGON ((37.66346866104223 55.74055134878131, 37.663315116587164 55.74504278681304, 37.67127757176349 55.74512915226296, 37.67143020223235 55.740637699765514, 37.66346866104223 55.74055134878131))"
